Title,Release_Date,Review_Process,Grant_Type,Focus_Area,Country,Application_Due_Date,PDF_Link
Local Level Educational Grants Program to Increase Awareness & Understanding of Transthyretin Amyloid Cardiomyopathy,2023-04-06T12:00:00Z, Pfizer Internal ,Education            ,Rare Disease            ,USA            ,2023-10-26T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-04/GMG_2023-RD-US_ATTR-CMLocalEducation.pdf?VersionId=l1Q.iyDYQmpii0BxVayQI05W4jr.mexB
Transthyretin Amyloid Cardiomyopathy (ATTR-CM) Research in Canada,2023-06-29T12:00:00Z, Pfizer Internal ,Research            ,Rare Disease            ,Canada            ,2023-10-02T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-06/GMG_2023-RD-CANADAWave2ATTR-CMResearch_EN.pdf?VersionId=mr6.mgHHN_UlfxnDrb0tXIJVbNq3PbbN
Improving Health Equity in IBD through Disparities Research ,2023-07-26T12:00:00Z, Pfizer Internal ,Research            ,Inflammation & Immunology            ,All            ,2023-10-11T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-07/GMG_2023-I%26I-G_IBDDisparitiesResearch.pdf?VersionId=o2Ga0WY16NvOCtZsN8MYTCL1yROPUcN4
Multidisciplinary Team Education in Duchenne Muscular Dystrophy (see RFP for specific geographic scope),2023-08-17T12:00:00Z, Pfizer Internal ,Education            ,Rare Disease            ,All            ,2023-09-26T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-08/2023%20RD%20DMD%20Team%20Education%20IME.pdf?VersionId=v11V13DwTCsTALFNa7SfOGcO4lYHBmsL
2023/2024 Global NASH ASPIRE,2023-09-05T12:00:00Z, Expert Review Panel ,Research            ,Internal Medicine            ,All            ,2024-01-04T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/2023-2024%20NASH%20ASPIRE%20RFP.pdf?VersionId=T5cE4vA4fRjg0UR81OfcIGNI_GGgmrs.
Improving Metastatic Breast Cancer (mBC) Quality of Care and Equity via Meaningful Capacity Building in South East Asia,2023-09-06T12:00:00Z, Expert Review Panel ,Quality Improvement            ,Oncology            ,"Hong Kong, Indonesia, Malaysia, Myanmar, Papua New Guinea, Philippines, Singapore, Solomon Islands, Taiwan, Thailand, Vietnam            ",2023-11-06T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/GMG_2024-ONC-APAC_ASCOCCFmBCQI.pdf?VersionId=.e3kqW7AJqzFD.4ymseFvNTB88RMxtzi
"Alopecia Areata Education for Pediatric Dermatologists, Dermatologists, and Advanced Practice Providers",2023-09-08T12:00:00Z, Pfizer Internal ,Education            ,Inflammation & Immunology            ,USA            ,2023-10-12T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/GMG_2023-I%26I-US_AAEducationPedDermKG_0.pdf?VersionId=Tc10tRHfcPpFdLTcXrxNoAJQIMRaZEgc
Implementation of Revised USP <797> Pharmaceutical Compounding-Sterile Preparations: Challenges and Opportunities,2023-09-12T12:00:00Z, Pfizer Internal ,Education            ,Hospital            ,USA            ,2023-10-10T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/GMG_2023-HOS-US_PatientSafetyIME.pdf?VersionId=oSqoG5RAf5_fhSgzWTEQIT3LLl6vopuw
Improving Care for Patients with Multiple Myeloma,2023-09-19T12:00:00Z, Pfizer Internal ,Education            ,Oncology            ,USA            ,2023-10-16T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/2023%20RRMM%20Education%20RFP%20US%20Sept%2019%202023.pdf?VersionId=JYFuSyV3PAmPymFJ0YLXCl9bkEJRfeEh
HRRm Testing in Metastatic Prostate Cancer,2023-09-20T12:00:00Z, Pfizer Internal ,Education            ,Oncology            ,All            ,2023-10-18T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/GMG_2023-ONC-G_HRRmTestingProstateCancerIME.pdf?VersionId=ZysIXrygu7VCIyQgne9JfsUtpC2pEF6N
Advancing Oncology Education for Healthcare Professionals,2023-09-20T12:00:00Z, Pfizer Internal ,Education            ,Oncology            ,"Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Comoros, Congo, Congo, The Democratic Republic, Cote D'ivoire, Djibouti, Gabon, Guinea, Madagascar, Mali, Niger, Rwanda, Senegal, Seychelles, Togo            ",2023-10-19T12:00:00Z,https://cdn.pfizer.com/pfizercom/2023-09/English_2023%20ONC%20AFME%20HCP%20Education%20IME%20-%20September%2020%2C%202023.pdf?VersionId=HPf7KMfOPzJXfwzBPQB9C7IyuxbkJR0H
Pneumococcal Disease Prevention,2012-04-11T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_pdp.pdf?VersionId=UXE1R5LZ6Xo.RFJ1CYWMt3gpkGjbVGqS
Chronic Pain,2012-05-08T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_chronic_pain.pdf?VersionId=do3MBpPov1xmsN8QOUqxPf_xwIZ9JhEz
Bacterial Infections,2012-06-28T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_bacterial_infections.pdf?VersionId=msjnPlmmRiW8HRO3yQcNUaDbhkpgeHpx
Pharmacy Pneumococcal Disease Prevention,2012-06-28T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_pneumococcal_disease_prevention.pdf?VersionId=HYkVrnO2cIjePWHDrHVoA8QLwQ.DqSlI
Smoking Cessation,2012-07-02T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_smoking_cessation.pdf?VersionId=V.TyU65MEEd1GdobwEgjpgV3M.GTBg6m
Non-Small Cell Lung Cancer,2012-07-10T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_lung_cancer.pdf?VersionId=FoRHXos5CsAMd4781HKLJvXdBkoV9mAr
Cardiovascular Risk in Rheumatoid Arthritis,2012-07-25T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_cv_risk_ra.pdf?VersionId=GCfUZtVET1R.CTqB0lzpSp6fkfo4bBMb
Opioid Pain,2012-07-26T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_opioid_pain.pdf?VersionId=WPp1BKS7cVtpFCPTzPfu5JPco9S6UrPe
Adult Pneumococcal Disease Prevention,2012-08-29T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_adult_pdp.pdf?VersionId=8vGhfVo78U9WTNm0FSf2mecL0EBjrDLY
Prevention of Stroke in Women,2012-09-13T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_women_stroke.pdf?VersionId=S5ydp5gb3ULEUe7Fz2zzT6Q8yfYRGLEQ
Oncology Educational Needs Assessments,2012-10-22T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_oncology_needs_assessments.pdf?VersionId=FK.Z91PXaL76Du8ENFOFYZ0eRURELz9Q
Extension Grant,2012-11-01T12:00:00Z,,,,,,https://cdn.pfizer.com/pfizercom/rfp_extension_grant.pdf?VersionId=W1BAmWKQcyBl3cBv9aRxuA9.VnFD9TcG
